source-Frogs,target-Frog
Salamanders,Spotted Salamander
Albatross,Laysan Albatross
Anhingas,Anhinga
Barn Owls,Barn Owl
Chickadees and Titmice,Black-Capped Chickadee
Chickadees and Titmice,Carolina Chickadee
Cormorants,Double-Crested Cormorant
Cormorants,Neotropic Cormorant
Cormorants,Great Cormorant
Cormorants,Pelagic Cormorant
Cormorants,Cormorant
Cormorants,Red-Faced Cormorant
Cranes,Sandhill Crane
Falcons,Merlin
Falcons,Gyrfalcon
Flycatchers,Eastern Phoebe
Frigatebirds,Great Frigatebird
Grebes,Clark's Grebe
Grebes,Western Grebe
Grebes,Horned Grebe
Grebes,Red-Necked Grebe
Grebes,Eared Grebe
Grebes,Pied-Billed Grebe
