source-arena,target-club
Anfield,Liverpool F.C.
Bentegodi,A.C. Chievo Verona
Camp Nou,F.C. Barcelona
Campo de Futbol de Vallecas,Rayo Vallecano
Constant Vanden Stock Stadium,R.S.C. Anderlecht
Emirates Stadium,Arsenal F.C.
Estadio Monumental Antonio Vespucio Liberti,Club Atletico River Plate
Etihad Stadium,Manchester City F.C.
Luigi Ferraris,U.C. Sampdoria
Luigi Ferraris,Genoa C.F.C.
Juventus Stadium,Juventus F.C.
La Bombonera,Boca Juniors
Maracana,Fluminense FC
Old Trafford,Manchester United F.C.
Olimpico,A.S. Roma
Olimpico,S.S. Lazio
Parc des princes,Paris Saint-Germain F.C.
Rajko Mitic,Red Star Belgrade
San Paolo,S.S.C. Napoli
San Siro,A.C. Milan
San Siro,Internazionale
Santiago Bernabeu,Real Madrid C.F.
Stade de Gerland,Olympique Lyonnais
Stade Vélodrome,Olympique de Marseille
Stadionul Steaua,FC Steaua Bucuresti
Stamford Bridge,Chelsea F.C.
Vicente Calderón,Atletico de Madrid
White Hart Lane,Tottenham Hotspur F.C.
Bentegodi,Hellas Verona
Maracana,Flamengo
