source-Author,target-Novel
Jonathan Franzen,The Twenty-Seventh City
Jonathan Franzen,Strong Motion
Jonathan Franzen,The Corrections
Jonathan Franzen,Freedom
J. D. Salinger,The Catcher in the Rye
J. D. Salinger,Franny and Zooey
Ernest Hemingway,The Torrents of Spring
Ernest Hemingway,The Sun Also Rises
Ernest Hemingway,A Farewell to Arms
Ernest Hemingway,To Have and Have Not
Ernest Hemingway,For Whom the Bell Tolls
Ernest Hemingway,Across the River and into the Trees
Ernest Hemingway,The Old Man and the Sea
Ernest Hemingway,Islands in the Stream
Ernest Hemingway,The Garden of Eden
John Steinbeck,Cup of Gold
John Steinbeck,To a God Unknown
John Steinbeck,Tortilla Flat
John Steinbeck,In Dubious Battle
John Steinbeck,The Grapes of Wrath
John Steinbeck,The Moon Is Down
John Steinbeck,Cannery Row
John Steinbeck,The Wayward Bus
John Steinbeck,East of Eden
John Steinbeck,Sweet Thursday
John Steinbeck,The Short Reign of Pippin IV: A Fabrication
John Steinbeck,The Winter of Our Discontent
Rick Moody,Garden State
Rick Moody,The Ice Storm
Rick Moody,Purple America
Rick Moody,The Diviners
Rick Moody,The Four Fingers of Death
David Foster Wallace,The Broom of the System
David Foster Wallace,Infinite Jest
David Foster Wallace,The Pale King
Thomas Pynchon,V.
Thomas Pynchon,The Crying of Lot 49
Thomas Pynchon,Gravity's Rainbow
Thomas Pynchon,Vineland
Thomas Pynchon,Mason & Dixon
Thomas Pynchon,Against the Day
Thomas Pynchon,Inherent Vice
Thomas Pynchon,Bleeding Edge
