source-award,target-artist
2x-Platin,Abba
Gold,Abba
Platin,Abba
Gold,AC/DC
Gold,AC/DC
2x-Platin,AC/DC
Gold,Barbelivien & Anais
Gold,Barclay James Harvest
Platin,Bee Gees
Gold,Berger & France Gall
3x-Platin,Bob Marley
Gold,Bon Jovi
Platin,Bon Jovi
Platin,Bon Jovi
2x-Platin,Bon Jovi
Gold,Bonnie Tyler
Gold,Bonnie Tyler
Gold,Bonnie Tyler
Gold,Bruce Springsteen
Gold,Bruce Springsteen
Platin,Cabaret Marcocello
Gold,Cabaret Rotstift
Gold,Calimeros
Gold,Chris De Burgh
Platin,Cyndi Lauper
Gold,David Hasselhoff
Gold,Def Leppard
Platin,Def Leppard
Gold,Die Prinzen
3x-Platin,Dire Straits
4x-Platin,Queen
4x-Platin,Dire Straits
Gold,Diverse Interpreten
Gold,Diverse Interpreten
Platin,Diverse Interpreten
Gold,Dr. Alban
Platin,Dr. Alban
Gold,Elton John
Platin,Elton John
Gold,Engelbert
Gold,Enya
Gold,Eric Clapton
Gold,Eric Clapton
Gold,Eros Ramazzotti
Platin,Erste Allgemeine Verunsicherung
Gold,Erste Allgemeine Verunsicherung
Gold,Extreme
Platin,Fleetwood Mac
Gold,Freddie Mercury
Gold,Freddie Mercury
2x-Platin,George Michael
Platin,George Michael
Gold,Gotthard
2x-Platin,Guns N' Roses
Platin,INXS
Gold,INXS
Gold,Jeff Turner
Platin,Joe Cacker
Gold,Joe Cocker
Gold,Jon Secada
Gold,Kim Wilde
Gold,Lionel Richie
Platin,Lionel Richie
Gold,Lisa Stansfield
Gold,Spice Girs
Gold,R.E.M.
2x-Platin,George Michael
Platin,George Michael
Gold,Gotthard
2x-Platin,Guns N' Roses
Platin,INXS
Gold,INXS
Gold,Jeff Turner
Platin,Joe Cacker
Gold,Joe Cocker
Gold,Jon Secada
Gold,Kim Wilde
Gold,Lionel Richie
Platin,Lionel Richie
Gold,Lisa Stansfield
Gold,Madonna
Gold,Marco Masini
Gold,Mecano
Gold,Mecano
3x-Platin,Michael Jacksan
2x-Platin,Michael Jackson
Gold,Michael Jackson
Platin,Michael Jackson
Gold,Michel Sardou
Gold,Mr. Big
Gold,Natalie Cole
Platin,Neil Young
Gold,Nirvana
Platin,Nirvana
2x-Platin,Patricia Kaas
Gold,Peach Weber
Platin,Peach Weber
Gold,Peter Reber
Gold,Prince
3x-Platin,Queen
3x-Platin,Queen
4x-Platin,Queen
2x-Platin,Queen
Platin,Queen
Gold,Queen
Gold,Queen
Platin,Queen
Platin,Queen
Platin,Queen
Gold,R.E.M.
Gold,Rondo Veneziano
Gold,Rondo Veneziano
4x-Platin,Roxette
2x-Platin,Roxette
Gold,Roxette
Platin,Roxette
Gold,Salt'N'Pepa
Platin,Schlieremer Chind
Gold,Schwyzeršrgeliduett Kappeler/Gasser
2x-Platin,Simply Red
Gold,Snap
Platin,Snap
Gold,Soundtrack
Platin,Soundtrack
Gold,Soundtrack
2x-Platin,Stephan Eicher
Gold,Tears For Fears
Gold,Ten Sharp
Gold,Texas
Gold,The Doors
Gold,The KLF
4x-Platin,Tina Turner
Platin,Tina Turner
Gold,Tom Petty
Platin,Toto
Gold,Tracy Chapman
Gold,U96
2x-Platin,Vaya Con Dios
Gold,Vaya Con Dios
Platin,Vaya Con Dios
Platin,Wildecker Herzbuben
Gold,Wildecker Herzbuben
Gold,Wilson Phillips
Gold,Zucchero
Gold,ZZ Top
