artist
Abba
Abba
Abba
AC/DC
AC/DC
AC/DC
Barbelivien & Anais
Barclay James Harvest
Bee Gees
Berger & France Gall
Bob Marley
Bon Jovi
Bon Jovi
Bon Jovi
Bon Jovi
Bonnie Tyler
Bonnie Tyler
Bonnie Tyler
Bruce Springsteen
Bruce Springsteen
Cabaret Marcocello
Cabaret Rotstift
Calimeros
Chris De Burgh
Cyndi Lauper
David Hasselhoff
Def Leppard
Def Leppard
Die Prinzen
Dire Straits
Queen
Dire Straits
Diverse Interpreten
Diverse Interpreten
Diverse Interpreten
Dr. Alban
Dr. Alban
Elton John
Elton John
Engelbert
Enya
Eric Clapton
Eric Clapton
Eros Ramazzotti
Erste Allgemeine Verunsicherung
Erste Allgemeine Verunsicherung
Extreme
Fleetwood Mac
Freddie Mercury
Freddie Mercury
George Michael
George Michael
Gotthard
Guns N' Roses
INXS
INXS
Jeff Turner
Joe Cacker
Joe Cocker
Jon Secada
Kim Wilde
Lionel Richie
Lionel Richie
Lisa Stansfield
Spice Girs
R.E.M.
George Michael
George Michael
Gotthard
Guns N' Roses
INXS
INXS
Jeff Turner
Joe Cacker
Joe Cocker
Jon Secada
Kim Wilde
Lionel Richie
Lionel Richie
Lisa Stansfield
Madonna
Marco Masini
Mecano
Mecano
Michael Jacksan
Michael Jackson
Michael Jackson
Michael Jackson
Michel Sardou
Mr. Big
Natalie Cole
Neil Young
Nirvana
Nirvana
Patricia Kaas
Peach Weber
Peach Weber
Peter Reber
Prince
Queen
Queen
Queen
Queen
Queen
Queen
Queen
Queen
Queen
Queen
R.E.M.
Rondo Veneziano
Rondo Veneziano
Roxette
Roxette
Roxette
Roxette
Salt'N'Pepa
Schlieremer Chind
Schwyzeršrgeliduett Kappeler/Gasser
Simply Red
Snap
Snap
Soundtrack
Soundtrack
Soundtrack
Stephan Eicher
Tears For Fears
Ten Sharp
Texas
The Doors
The KLF
Tina Turner
Tina Turner
Tom Petty
Toto
Tracy Chapman
U96
Vaya Con Dios
Vaya Con Dios
Vaya Con Dios
Wildecker Herzbuben
Wildecker Herzbuben
Wilson Phillips
Zucchero
ZZ Top
