source-bank,target-swiftcode
ALWATANY BANK OF EGYPT,WABAEGCXMOH
CHELYABINVESTBANK,CHINRU4CXXX
ARAB BANK PLC,ARABQAQARD3
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL073
CREDIT COOPERATIF,CCOPFRPPFXD
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXGZI
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CTC
FIDUCIARY TRUST COMPANY INTERNATIONAL,FCNYUS33TMS
AMERICAN BUSINESS BANK,ACBBUS6LXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL053
BANGKOK BANK PCL,BKKBVNVXXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX022
SOFIPROTEOL,SOFRFRPPXXX
AOMORI BANK LTD.  THE,AOMBJPJTXXX
SUEZ CANAL BANK,SUCAEGCXGRD
BANQUE EXTERIEURE D'ALGERIE,BEXADZALDCE
BANQUE POPULAIRE OCCITANE,CCBPFRPPTLS
DELTACREDIT CB ZAO,DETARUMMXXX
FIRST BANK OF MIAMI,FBOMUS3MXXX
CP OR DEVISES,CPBIFRPPXXX
ELNOUR SECURITIES,NOUREGCAXXX
BANQUE LAYDERNIER,LAYDFR2WXXX
BRED BANQUE POPULAIRE,BREDFRPPXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX003
BANK OF TOKYO-MITSUBISHI UFJ  LTD. THE,BOTKJPJ2XXX
CHANG HWA COMMERCIAL BANK  LTD.  NEW YORK BRANCH,CCBCUS33XXX
COMMERCIAL INTERNATIONAL BROKERAGE COMPANY,CIBOEGCXXXX
FASTNET FRANCE,FNETFRPPXXX
MISR IRAN DEVELOPMENT BANK,MIDBEGCXGZA
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL092
HSBC FRANCE,CCFRFRPP150
EURONEXT PARIS S.A.,XPARFRPPXXX
NATIXIS,CCBPFRPP948
CHIBA BANK  LTD.  THE,CHBAJPJTXXX
CREDIT MUTUEL,CMCIFR2AXXX
DUBUS S.A.,DUBUFR2LDEU
GE MONEY BANK SCA,MOEYFRPPMON
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL075
BARCLAYS BANK - EGYPT S.A.E.,BCBIEGCX003
NORINCHUKIN BANK  THE,NOCUJPJTCLS
BLOM BANK EGYPT S.A.E.,MRBAEGCBXXX
FRANCE TELECOM SA,FTELFRPPXXX
JPMORGAN CHASE BANK  N.A.,CHASFRPPENQ
GE MONEY BANK SCA,MOEYFRPPXXX
DEUTSCHE BANK AG,DEUTJPJTXXX
FIRST QUADRANT  L.P.,FQDRUS66XXX
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX527
BALTIK DEVELOPMENT BANK,BADJRUMMSPB
DRESDNER BANK ZAO,DRESRU2XXXX
NATIONAL BANK FOR DEVELOPMENT,NBDEEGCXALX
PASHTANY BANK,PIBAAFKAXXX
BANK OF KHANTY-MANSIYSK OAO,KHANRUMM012
CENTRAL BANK OF EGYPT CAIRO,CBEGEGCABES
BANK OF CHINA,BKCHJPJTOSA
BANK OF TOKYO-MITSUBISHI UFJ  LTD.  THE,BOTKJPJTCLS
AWA BANK  LTD.  THE,AWABJPJTXXX
BANQUE POPULAIRE DE L'OUEST,CCBPFRPPREN
BNP PARIBAS LE CAIRE,BNPAEGCXGLM
METROPOLE GESTION,METGFRP2XXX
ABSOLUT BANK,ABSLRUMMXXX
SUEZ CANAL BANK,SUCAEGCXHEL
HSBC ASSET MANAGEMENT (EUROPE) SA,HAMFFRPPXXX
HOUSING BANK OF MEKONG DELTA (MHB)-HEAD OFFICE,MHBBVNVXXXX
IXIS ASSET MANAGEMENT,IXIAFRPPXXX
NATIONAL BANK OF ABU DHABI,NBADEGCAOCT
ASSOCIATED BANK GREEN BAY N.A.,ABGBUS44XXX
BLACKROCK JAPAN CO.  LTD.,BGIAJPJTXXX
THE UNITED BANK,UBOEEGCXXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX421
ODDO ET CIE,ODDOFRPPFEC
BANCO SANTANDER INTERNATIONAL,BDERUS3MXXX
NATIONAL BANK OF ABU DHABI,NBADEGCAGZA
GOLDMAN SACHS BANK USA (FORMERLY THE GOLDMAN SACHS TRUST COMPANY),GSTRUS33FAS
ODDO ET CIE,ODDOFRPPOAM
NTT DATA GETRONICS CORPORATION,NTDGJPJTXXX
SOCIETE DES PAIEMENTS PASS SA,SOAPFR22XXX
FIRST NATIONAL BANK,FNBOUS44TCX
VEFBANK  JOINT STOCK COMPANY COMMERCIAL BANK,VEFBLV22XXX
DEUTSCHE ASSET MANAGEMENT(JAPAN)LTD,DEAMJPJTXXX
UNION NATIONAL BANK-EGYPT S.A.E.,ALECEGALMAI
CAISSE D'EPARGNE ILE DE FRANCE,CEPAFRPP751
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CAL
ROYAL BANK OF CANADA,ROYCJPJTXXX
COMMONWEALTH BANK OF AUSTRALIA,CTBAJPJTXXX
LYXOR ASSET MANAGEMENT,LAMXFRPPXXX
BAKER HUGHES INCORPORATED,BHICUS44XXX
CREDIT AGRICOLE CHEUVREUX,CHVIFRPPFRO
BANQUE DE GESTION PRIVEE-SIB,SIBLFRPPSCS
BANK OF AMERICA  N.A.,BOFAUS3DAUS
AEGON USA INVESTMENT MANAGEMENT  LLC,AEGUUS44XXX
BANK OF NOVA SCOTIA THE,NOSCJPJTXXX
NATIONAL BANK OF ABU DHABI,NBADEGCATFO
MIRAGE BROKERAGE,MIRAEGCAXXX
CAISSE CENTRALE DU CREDIT IMMOBILIER DE FRANCE,CCIFFRPPXXX
CITADEL INVESTMENT GROUP  L.L.C.,CITGUS44CH2
NATIXIS,CCBPFRPP925
ARAB INTERNATIONAL BANK,ARIBEGCX004
BANK OF ALGERIA,BALGDZALSBE
FIRST NATIONAL BANK,FNBOUS44FRI
DUBUS SA,DUBUFR2NXXX
DEVELOPMENT CAPITAL BANK,VIZIRUMMXXX
FIRST COMMERCIAL BANK (USA),FCBCUS6LXXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL004
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX501
AKIBANK JSC,AKOARU22XXX
CACEIS BANK,ISAEFRPPXXX
EXANE S.A.,EXANFRPPSTO
SOCIETE ARABE INTERNATIONALE DE BANQUE,SBNKEGCXINV
NATIONAL BANK OF ABU DHABI,NBADEGCASTF
CHUO MITSUI TRUST AND BANKING CO. LTD. THE,MTRBJPJTXXX
GLOBEFLEX CAPITAL  L.P.,GFLXUS66XXX
FIRST COMMERCIAL BANK  LTD. NEW YORK BRANCH,FCBKUS33XXX
LA BANQUE POSTALE,PSSTFRPPXXX
SAMBA FINANCIAL GROUP,SAMBQAQAXXX
ALWATANY BANK OF EGYPT,WABAEGCXRAM
CAIRO STOCK BROKERAGE COMPANY,CSBPEGCAXXX
BMI BANK B.S.C. QATAR BRANCH,BMUSQAQAXXX
BNP PARIBAS LE CAIRE,BNPAEGCXXXX
BAKHTAR BANK,BKRBAFKAXXX
GILEAD SCIENCES INC.,GILSUS6SXXX
FIRST BANK,FBOLUS6LXXX
BANCA IMI SECURITIES CORP.,BIMIUS33XXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX006
CREDIT AGRICOLE CIB,BSUIFRPPLIL
FOSTER BANK,FBNKUS44XXX
ABB BANK,CMABRUMMXXX
AHLI BANK Q.S.C.,ABQQQAQAMER
EGYPTIAN GULF BANK,EGGBEGCALCS
BARCLAYS CAPITAL JAPAN LTD.,BARCJPJ9XXX
EURONEXT PARIS S.A.,XPARFRPPTRS
EGYPTIAN GULF BANK,EGGBEGCAMAN
TAMA SHINKIN BANK  THE,TAMAJPJTXXX
BLOM BANK EGYPT S.A.E.,MRBAEGCX008
ACCEPT CB OAO,AJSCRU55XXX
DYNAMIC SECURITIES TRADING,DYSTEGCAXXX
BANK FOR INVESTMENT AND DEVELOPMENT OF VIETNAM,BIDVVNVX581
BNP PARIBAS ARBITRAGE,BNABFRPPOTC
BLOM BANK EGYPT S.A.E.,MRBAEGCX012
EGYPTIAN WORKERS BANK,EWBAEGC1XXX
BANQUE EXTERIEURE D'ALGERIE,BEXADZAL028
FIRST NATIONAL BANK,FNBOUS44LIN
COMMERCIAL BANK OF QATAR  LTD.,CBQAQAQAXXX
NATIXIS,CCBPFRPP902
FERROBANK LLC,SVIBRUMMXXX
SOCIETE MARSEILLAISE DE CREDIT,SMCTFR2AGRA
AHLI UNITED BANK (EGYPT) S.A.E.,DEIBEGCX621
SCHRODER INVESTMENT MANAGEMENT (JAPAN) LIMITED,SIMJJPJ2XXX
SWIFT CUSTOMER SERVICE CENTRE JAPAN,SWHQJPJTXXX
