source-City,target-Building
New York City,Chrysler Building
New York City,Empire State Building
Chicago,John Hancock Center
Chicago,Aon Center
Chicago,Willis Tower
Houston,JPMorgan Chase Tower
Houston,Wells Fargo Plaza
Los Angeles,U.S. Bank Tower
Chicago,Franklin Center
Hong Kong,Bank of China Tower
Chicago,Two Prudential Plaza
Hong Kong,Central Plaza
Atlanta,Bank of America Plaza
Shenzhen,Shun Hing Square
Guangzhou,CITIC Plaza
Kaohsiung,Tuntex Sky Tower
Bangkok,Baiyoke Tower II
Kuala Lumpur,Petronas Tower 1
Kuala Lumpur,Petronas Tower 2
Hong Kong,The Center
Shanghai,Jin Mao Tower
Dubai,Burj Al Arab
Dubai,Emirates Office Tower
Dubai,Jumeirah Emirates Towers Hotel
Kuala Lumpur,Menara Telekom
Riyadh,Kingdom Centre
Hong Kong,Two International Finance Centre
Taipei,Taipei 101
Shanghai,Shimao International Plaza
Gold Coast,Q1
Dubai,Rose Tower
Hong Kong,Nina Tower
New York City,New York Times Building
Doha,Aspire Tower
Shanghai,Shanghai World Financial Center
Wuhan,Minsheng Bank Building
Wuhan,Wuhan World Trade Tower
Dubai,The Address Downtown Burj Khalifa
Chicago,Trump International Hotel and Tower
New York City,Bank of America Tower
Dubai,Almas Tower
Beijing,China World Trade Center Tower 3
Kuwait City,Arraya 2
Dubai,Burj Khalifa
Hong Kong,International Commerce Centre The Ritz-Carlton Hong Kong
Nanjing,Zifeng Tower
Guangzhou,Guangzhou International Finance Center
Tianjin,Tianjin World Financial Center
Dubai,The Index
Wenzhou,Wenzhou World Trade Center
Dubai,HHHR Tower
Dubai,Ocean Heights
Incheon,Northeast Asia Trade Tower
Moscow,Moscow Tower
Shenzhen,KK100
Kuwait City,Al Hamra Tower
Dubai,The Marina Torch
Hanoi,Keangnam Hanoi Landmark Tower
Huaxi Village,Longxi International Hotel
Guangzhou,Pearl River Tower
Abu Dhabi,Etihad Tower 2
Guangzhou,Leatop Plaza
Busan,We've the Zenith Tower A
Mecca,Abraj Al-Bait Clock Tower
Dubai,Princess Tower
Dubai,23 Marina
Dubai,Elite Residence
Guangzhou,The Pinnacle
Dubai,JW Marriott Marquis Dubai Tower 1
Dubai,JW Marriott Marquis Dubai Tower 2
Moscow,Mercury City Tower
Abu Dhabi,The Landmark
Shenyang,Moi Center
London,The Shard
Shenzhen,East Pacific Center Tower A
Santiago,Gran Torre Santiago
Changzhou,Modern Media Center
Dubai,Al Yaqoub Tower
Nanjing,Deji Plaza Phase 2
Riyadh,Burj Rafal
Dubai,Cayan Tower
New York City,One57
New York,Trump World Tower
New York City,One World Trade Center
Wuxi,The Wharf Times Square
Chongqing,Chongqing World Financial Center
Wuxi,Wuxi Suning Plaza 1
Wuxi,Wuxi Maoye City - Marriott Hotel
Shenzhen,Heung Kong Tower
Osaka,Abeno Harukas
Nanjing,Nanjing International Youth Cultural Centre Tower 1
Moscow,Stalnaya Vershina
Jinan,Greenland Puli Center
Nanchang,Jiangxi Nanchang Greenland Central Plaza 1
Nanchang,Jiangxi Nanchang Greenland Central Plaza 2
Suzhou,Gate of the Orient
Pyongyang,Ryugyong Hotel
