source-city,target-zip code
LA MIRADA,90638
West Point,10997
La Mirada,90639
WESTTOWN,10998
NINDE,22526
Boston,2108
La Mirada,90637
Boston,2109
Warwick,10990
Washingtonville,10992
Montross,22520
West Haverstraw,10993
WEST NYACK,10994
West Point,10996
MONTEBELLO,90640
MILFORD,22514
LA PALMA,90623
Buena Park,90624
LOTTSBURG,22511
Doniphan,63935
Dudley,63936
Campbell,63933
Clubb,63934
Briar,63931
Broseley,63932
La Habra,90631
CYPRESS,90630
Boston,2128
Boston,2127
Simms,75574
LANEVIEW,22504
Charlestown,2129
Bella Vista,96008
QUEEN CITY,75572
Dorchester Center,2124
Anderson,96007
LORETTO,22509
Adin,96006
New Boston,75570
Locust Grove,22508
Mattapan,2126
Dorchester,2125
Redding,96003
Redding,96002
Redding,96001
LADYSMITH,22501
Poplar Bluff,63901
Poplar Bluff,63902
PICO RIVERA,90660
DORCHESTER,2122
Linden,75563
Roxbury,2119
Boston,2118
BOSTON,2117
Boston,2116
Boston,2115
Boston,2114
Hooks,75561
Boston,2113
Maud,75567
NAPLES,75568
Nash,75569
Boston,2110
NORWALK,90650
Boston,2111
Cincinnati,45208
Champaign,61820
Williamsville,63967
Cincinnati,45207
Wappapello,63966
Cincinnati,45209
Monroe,10950
CHAMPAIGN,61824
Shook,63963
BOGUE CHITTO,39629
Rombauer,63962
Monsey,10952
Champaign,61822
Van Buren,63965
Champaign,61821
Silva,63964
NANUET,10954
Mountainville,10953
New City,10956
Cincinnati,45202
Qulin,63961
Cincinnati,45201
Puxico,63960
New Hampton,10958
Cincinnati,45204
Cincinnati,45203
Cincinnati,45206
NEW MILFORD,10959
Cincinnati,45205
Broadlands,61816
Catlin,61817
Bismarck,61814
BONDVILLE,61815
Cerro Gordo,61818
CROSBY,39633
Fernwood,39635
Cincinnati,45219
COLLISON,61831
Cincinnati,45218
CISCO,61830
Otisville,10963
Tilton,61833
ORANGEBURG,10962
GLOSTER,39638
Danville,61832
Nyack,10960
Danville,61834
Cincinnati,45213
Cincinnati,45212
Pearl River,10965
Cincinnati,45211
Palisades,10964
Cincinnati,45217
Cincinnati,45216
PINE ISLAND,10969
Cincinnati,45215
Piermont,10968
Cincinnati,45214
Champaign,61826
Bude,39630
CHATAWA,39632
CENTREVILLE,39631
Urbana,61802
Fremont,63941
Urbana,61801
Fisk,63940
Sloatsburg,10974
Grandin,63943
SLATE HILL,10973
Gatewood,63942
Brookhaven,39602
Harviell,63945
BROOKHAVEN,39603
Cincinnati,45229
Greenville,63944
Pomona,10970
Brookhaven,39601
Cincinnati,45226
STERLING FOREST,10979
Cincinnati,45225
Cincinnati,45228
Cincinnati,45227
SPARKILL,10976
CINCINNATI,45222
SOUTHFIELDS,10975
Cincinnati,45221
Cincinnati,45224
Spring Valley,10977
Cincinnati,45223
Cincinnati,45220
BUENA PARK,90620
BUENA PARK,90621
Buena Park,90622
Ellsinore,63937
Fagus,63938
Fairdealing,63939
THOMPSON RIDGE,10985
Alvin,61811
Neelyville,63954
Thiells,10984
Allerton,61810
Naylor,63953
Tappan,10983
Bement,61813
Mill Spring,63952
TALLMAN,10982
Armstrong,61812
Lowndes,63951
SUGAR LOAF,10981
STONY POINT,10980
Piedmont,63957
Patterson,63956
Oxly,63955
Whittier,90604
Cincinnati,45239
WHITTIER,90603
Cincinnati,45238
WHITTIER,90602
Cincinnati,45237
WHITTIER,90601
Cincinnati,45236
Whittier,90608
Valley Cottage,10989
Cincinnati,45235
Lodi,63950
Whittier,90607
UNIONVILLE,10988
Cincinnati,45234
WHITTIER,90606
Tuxedo Park,10987
Cincinnati,45233
WHITTIER,90605
Tomkins Cove,10986
Cincinnati,45232
Cincinnati,45230
Cincinnati,45231
Urbana,61803
ROXIE,39661
RUTH,39662
Stoneham,2180
Silver Creek,39663
SMITHDALE,39664
SONTAG,39665
Braintree,2184
Weymouth,2188
Braintree,2185
Milton,2186
East Weymouth,2189
Meridianville,35759
Madison,35758
Madison,35757
TYLERTOWN,39667
Madison,35756
Summit,39666
Langston,35755
Woodville,39669
Laceys Spring,35754
UNION CHURCH,39668
HOLLYWOOD,35752
HOLLYTREE,35751
Hazel Green,35750
Quincy,2170
Quincy,2171
MELROSE,2176
Gurley,35748
Grant,35747
Harvest,35749
DUTTON,35744
Fackler,35746
ESTILLFORK,35745
Bridgeport,35740
Capshaw,35742
