source-Country,target-Unesco Site
Cuba,Old Havana and its Fortifications
Cuba,Trinidad and theValley de los Ingenios
Cuba,San Pedro de la Roca CastleSantiago de Cuba
Cuba,Desembarco del Granma National Park
Cuba,Viñales Valley
Cuba,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba.
Cuba,Alejandro de Humboldt National Park
Cuba,Urban Historic Centre ofCienfuegos
Cuba,Historic Centre ofCamagüey
South Korea,Changdeokgung Palace Complex
South Korea,Gochang Hwasun and Ganghwa Dolmen Sites
South Korea,Gyeongju Historic Areas
South Korea,Haeinsa Temple Janggyeong Panjeon the Depositories for the Tripitaka Koreana Woodblocks
South Korea,Historic Villages of Korea: Hahoe andYangdong
South Korea,Hwaseong Fortress
South Korea,Jeju Volcanic Island and Lava Tubes
South Korea,Jongmyo Shrine
South Korea,Royal Tombs of the Joseon Dynasty
South Korea,Seokguram Grottoand Bulguksa Temple
Thailand,Ban Chiang Archaeological Site
Thailand,Dong Phayayen-Khao Yai Forest Complex
Thailand,Historic City of Ayutthaya
Thailand,Historic Town of Sukhothai and Associated Historic Towns
Thailand,Thungyai-Huai Kha Khaeng Wildlife Sanctuaries
Austria,City of Graz – Historic Centre and Schloss Eggenberg
Austria,Fertö / Neusiedlersee Cultural Landscape
Austria,Hallstatt-Dachstein /SalzkammergutCultural Landscape
Austria,Historic Centre of Salzburg
Austria,Historic Centre of Vienna
Austria,Palace and Gardens of Schönbrunn
Austria,Prehistoric pile dwellings around the Alps
Austria,Semmering railway
Austria,Wachau Cultural Landscape
Luxembourg,City of Luxembourg: its Old Quarters and Fortifications
Croatia,Plitvice
Croatia,Peristyle of Diocletian's Palace
Croatia,Dubra
Croatia,Porec Euphrasius Basilika
Croatia,Trogir
Croatia,St. Jacobuskathedraal
Croatia,Starigradsko polje
Portugal,Alto Douro Wine Region
Portugal,Central Zone of the Town of Angra do Heroismo in the Azores
Portugal,Convent of Christ inTomar
Portugal,Cultural Landscape of Sintra
Portugal,Garrison Border Town of Elvas and its Fortifications
Portugal,Historic Centre ofÉvora
Portugal,Historic Centre ofGuimarães
Portugal,Historic Centre ofOporto
Portugal,Landscape of the Pico Island Vineyard Culture
Portugal,Laurisilva ofMadeira
Portugal,Monastery of Alcobaça
Portugal,Monastery of Batalha
Portugal,Monastery of the Hieronymitesand Tower of Belém inLisbon
Portugal,Prehistoric Rock Art Sites in the Côa Valleyand Siega Verde
Portugal,University of Coimbra – Alta and Sofia
Spain,Cave of Altamira andPaleolithic Cave Art of Northern Spain
Spain,Old Town of Segovia and itsAqueduct
Spain,Monuments of Oviedo and the Kingdom of the Asturias
Spain,Historic Centre of Córdoba
Spain,AlhambraGeneralife andAlbayzín
Spain,Burgos Cathedral
Spain,Monastery and Site of the Escorial
Spain,Works of Antoni Gaudí
Spain,Santiago de Compostela (Old Town)
Spain,Old Town of Ávila with its Extra-Muros Churches
Spain,Mudéjar Architecture of Aragon
Spain,Historic City of Toledo
Spain,Garajonay National Park
Spain,Old City of Salamanca
Spain,CathedralAlcázar andArchivo de Indias in Seville
Spain,Old Town of Cáceres
Spain,Ibiza Biodiversity and Culture
Spain,Poblet Monastery
Spain,Renaissance Monumental Ensembles ofÚbeda andBaeza
Spain,Archaeological Ensemble of Mérida
Spain,Royal Monastery of Santa María de Guadalupe
Spain,Route of Santiago de Compostela
Spain,Doñana National Park
Spain,Pyrénées – Mont Perdu
Spain,Historic Walled Town of Cuenca
Spain,La Lonja de la Seda de Valencia
Spain,Las Médulas
Spain,Palau de la Música Catalana andHospital de Sant Pau Barcelona
Spain,San Millán Yuso and Suso Monasteries
Spain,Prehistoric Rock-Art Sites in the Côa Valley and Siega Verde
Spain,Rock Art of the Mediterranean Basin on the Iberian Peninsula
Spain,Archaeological Ensemble of Tárraco
Spain,University and Historic Precinct of Alcalá de Henares
Spain,San Cristóbal de La Laguna
Spain,Palmeral of Elche
Spain,Roman Walls of Lugo
Spain,Catalan Romanesque Churches of the Vall de Boí
Spain,Archaeological Site of Atapuerca
Spain,Aranjuez Cultural Landscape
Spain,Vizcaya Bridge
Spain,Teide National Park
Spain,Tower of Hercules
Spain,Cultural Landscape of the Serra de Tramuntana
Spain,Heritage of Mercury.Almadén andIdrija
Bosnia and Herzegovina,Mehmed Paša Sokolović Bridge in Višegrad
Bosnia and Herzegovina,Old Bridge Area of the Old City of Mostar
Pakistan,Archaeological Ruins at Moenjodaro
Pakistan,Taxila
Pakistan,Buddhist Ruins of Takht-i-Bahiand Neighbouring City Remains atSahr-i-Bahlol
Pakistan,Fort andShalamar Gardens in Lahore
Pakistan,Historical Monuments at Makli Thatta
Pakistan,Rohtas Fort
Haiti,Sans-Souci Palace
Haiti,Citadelle Laferrière
Haiti,Buildings of Ramiers
Madagascar,Tsingy de Bemaraha Strict Nature Reserve
Madagascar,Royal Hill of Ambohimanga
Madagascar,Rainforests of the Atsinananadagger
South Africa,Fossil Hominid Sites of Sterkfontein Swartkrans Kromdraai and Environs
South Africa,Mapungubwe Cultural Landscape
South Africa,Richtersveld Cultural and Botanical Landscape
South Africa,Robben Island
South Africa,Cape Floral Region Protected Areas
South Africa,iSimangaliso Wetland Park
South Africa,Vredefort Dome
South Africa,uKhahlamba / Drakensberg Park
Turkmenistan,Kunya-Urgench
Turkmenistan,Parthian Fortresses of Nisa
Turkmenistan,State Historical and Cultural Park “Ancient Merv”
Kyrgyzstan,Sulaiman-Too Sacred Mountain
Uzbekistan,Historic Centre of Bukhara
Uzbekistan,Historic Centre of Shakhrisyabz
Uzbekistan,Itchan Kala (Khiva)
Uzbekistan,Samarkand – Crossroads of Cultures
Marshall Islands,Bikini Atoll Nuclear Test Site
Vanuatu,Chief Roi Mata's Domain
Solomon Islands,East Rennell
