source-country,target-language
Portugal,Portuguese
Belarus,Belarusian Russian
Mali,French
Morocco,Arabic
Ecuador,Spanish
Indonesia,Indonesian
Chile,Spanish
Nicaragua,Spanish
France,French
Haiti,French
Bahrain,Arabic
Fiji,English
Cape Verde,Portuguese
Sierra Leone,English
Latvia,Latvian
Panama,Spanish
Oman,Arabic
Turkey,Turkish
Guyana,English
Czech Republic,Czech
Mexico,Spanish
Laos,LAO
Mozambique,Portuguese
Benin,French
Romania,Romanian
Iceland,Icelandic
Algeria,Arabic
Belize,English
Saudi Arabia,Arabic
Paraguay,Spanish
Syria,Arabic
Barbados,English
Lebanon,Arabic
Colombia,Spanish
Yemen,Arabic
El Salvador,Spanish
Malaysia,Malay
Liechtenstein,German
Albania,Albanian
Slovenia,Slovene
Burkina Faso,French
Mongolia,Mongolian
San Marino,Italian
Guatemala,Spanish
Austria,German
Mauritania,Arabic
Egypt,Arabic
Hungary,Hungarian
Mauritius,English
Argentina,Spanish
Poland,Polish
Russia,Russian
Georgia,Georgian
Bulgaria,Bulgarian
Germany,German
Norway,Norwegian
Japan,Japanese
New Zealand,English
South Korea,Korean
United Arab Emirates,Arabic
Angola,Portuguese
Cuba,Spanish
Iran,Persian
Slovakia,Slovak
Greece,Greek
Maldives,Dhivehi
Thailand,Thai
Costa Rica,Spanish
Ukraine,Ukrainian
Tajikistan,Tajik
Sri Lanka,Sinhala Tamil
Tonga,Tongan English
Italy,Italian
India,English Hindi
Moldova,Moldovan
Macedonia,Macedonian
Senegal,French
Jordan,Arabic
Guinea,French
Cyprus,Greek Turkish
Denmark,Danish
Kuwait,Arabic
Namibia,English
UZBEKISTAN,Uzbek
Myanmar,Burmese
Ghana,English
Uruguay,Spanish
Libya,Arabic
Andorra,Catalan
Saint Kitts and Nevis,English
Saint Lucia,English
Armenia,Armenian
Brazil,Portuguese
Venezuela,Spanish
Croatia,Croatian
Cameroon,French
Zimbabwe,English
Sweden,Swedish
Serbia,Serbian
Qatar,Arabic
Estonia,Estonian
Nigeria,English
Tuvalu,English
Spain,Spanish
Saint Vincent and the Grenadines,English
Palau,English
North Korea,Korean
Bhutan,Dzongkha
Azerbaijan,Azerbaijani
Nepal,Nepali
Vietnam,Vietnamese
Solomon Islands,English
Bolivia,Spanish
Liberia,English
Turkmenistan,Turkmen
Ethiopia,Amharic
Honduras,Spanish
Australia,English
Dominica,English
Tunisia,Arabic
Netherlands,Dutch
China,Chinese
Antigua and Barbuda,English
Gambia,English
Lithuania,Lithuanian
Uganda,English
Jamaica,English
Sudan,Arabic
United Kingdom,English
Grenada,English
Bahamas,English
Cambodia,Khmer
Zambia,English
Dominican Republic,Spanish
Botswana,Tswana
