source-element,target-B.P.
Actinium,3200
Aluminum,2467
Americium,2607
Antimony,1750
Argon,-186
Arsenic,613
Astatine,337
Barium,1140
Beryllium,2970
Bismuth,1560
Boron,2550
Bromine,59
Cadmium,765
Calcium,1484
Carbon,4827
Cerium,3257
Cesium,678
Chlorine,-35
Chromium,2672
Cobalt,2870
Copper,2567
Dysprosium,2562
Erbium,2510
Europium,1597
Fluorine,-188
Francium,677
Gadolinium,3233
Gallium,2403
Germanium,2830
Gold,2807
Hafnium,5400
Helium,-269
Holmium,2720
Hydrogen,-253
Indium,2000
Iodine,184
Iridium,4527
Iron,2750
Krypton,-153
Lanthanum,3469
