source-Albert,target-Uganda
Albert,Democratic Republic of the Congo
Athabasca,Canada
Baikal,Russia
Balkhash,Kazakhstan
Caspian Sea,Kazakhstan
Caspian Sea,Russia
Caspian Sea,Turkmenistan
Caspian Sea,Azerbaijan
Caspian Sea,Iran
Erie,Canada
Erie,United States
Great Bear Lake,Canada
Great Salt Lake,United States
Great Slave Lake,Canada
Huron,Canada
Huron,United States
Issyk-Kul,Kyrgyzstan
Khanka,China
Khanka,Russia
Ladoga,Russia
Lake of the Woods,Canada
Lake of the Woods,United States
Malawi,Malawi
Malawi,Mozambique
Malawi,Tanzania
Manitoba,Canada
Michigan,United States
Mweru,Zambia
Mweru,Democratic Republic of the Congo
Nettilling,Canada
Nicaragua,Nicaragua
Nipigon,Canada
Onega,Russia
Ontario,Canada
Ontario,United States
Qinghai Lake,China
Reindeer Lake,Canada
Saimaa,Finland
Superior,Canada
Superior,United States
Tanganyika,Burundi
Tanganyika,Tanzania
Tanganyika,Zambia
Tanganyika,Democratic Republic of the Congo
Taymyr,Russia
Titicaca,Peru
Titicaca,Bolivia
Turkana,Ethiopia
Turkana,Kenya
Urmia,Iran
Victoria,Uganda
Victoria,Kenya
Victoria,Tanzania
Vostok,Antarctica
V„nern,Sweden
Winnipeg,Canada
Winnipegosis,Canada
