source-mountain,target-country
Kangchenjunga,India
K2,China
Mount Everest,China
Mount Everest,Nepal
K2,Pakistan
Kangchenjunga,Nepal
Broad Peak,China
Gasherbrum I,China
Makalu,Nepal
Cho Oyu,Nepal
Lhotse,Nepal
Lhotse,China
Makalu,China
Cho Oyu,China
Dhaulagiri,Nepal
Manaslu,Nepal
Nanga Parbat,Pakistan
Annapurna,Nepal
Gasherbrum I,Pakistan
Broad Peak,Pakistan
Gasherbrum IV,Pakistan
Gasherbrum III,China
Gyachung Kang,China
Gasherbrum II,China
Gasherbrum II,Pakistan
Shishapangma,China
Gyachung Kang,Nepal
Gasherbrum III,Pakistan
Annapurna II,Nepal
Gasherbrum IV,China
Himalchuli,Nepal
Saltoro Kangri,Pakistan
Distaghil Sar,Pakistan
Chomo Lonzo,China
Ngadi Chuli,Nepal
Nuptse,Nepal
Khunyang Chhish,Pakistan
Masherbrum,Pakistan
Nanda Devi,India
Chomo Lonzo,Nepal
Batura Sar,Pakistan
Kanjut Sar,Pakistan
Rakaposhi,Pakistan
Namcha Barwa,China
Batura II,Pakistan
Kamet,India
Saltoro Kangri,India
Batura III,Pakistan
Kongur Tagh,China
Jannu,Nepal
Molamenqing,China
Gurla Mandhata,China
Tirich Mir,Pakistan
Saser Kangri,India
Chogolisa,Pakistan
Shispare,Pakistan
Changtse,China
Trivor,Pakistan
Gangkhar Puensum,China
Gangkhar Puensum,Bhutan
Gongga Shan,China
Annapurna III,Nepal
Kula Kangri,China
Chogolisa II,Pakistan
Muztagh Ata,China
Skyang Kangri,China
Skyang Kangri,Pakistan
Yukshin Gardan Sar,Pakistan
Annapurna IV,Nepal
Mamostong Kangri,India
Ismoil Somoni Peak,Tajikistan
Noshaq,Afghanistan
Pumari Chhish,Pakistan
Passu Sar,Pakistan
Malubiting,Pakistan
Gangapurna,Nepal
Kabru,Nepal
Ghent Kangri,Pakistan
Jengish Chokusu,China
K12,Pakistan
Jengish Chokusu,Kyrgyzstan
K12,India
Istor-o-Nal,Pakistan
Ghent Kangri,India
Haramosh Peak,Pakistan
Kabru,India
Ultar,Pakistan
Labuche Kang,China
Rimo I,India
Sherpi Kangri,Pakistan
Labuche Kang,Nepal
Jomolhari /Chomolhari,China
Gimmigela Chuli,Nepal
Kirat Chuli,Nepal
Kirat Chuli,India
Skil Brum,Pakistan
Gimmigela Chuli,India
Bojohagur Duanasir,Pakistan
Chamlang,Nepal
Jomolhari /Chomolhari,Bhutan
Baltoro Kangri,Pakistan
Siguang Ri,China
The Crown,China
Gyala Peri,China
Porong Ri,China
Baintha Brakk,Pakistan
Yutmaru Sar,Pakistan
K6,Pakistan
Kangpenqing,China
Mana Peak,India
Muztagh Tower,Pakistan
Diran,Pakistan
Apsarasas Kangri,China/India
Langtang Lirung,Nepal
Khartaphu,China
Tongshanjiabu,Bhutan/China
Langtang Ri,Nepal/China (Tibet)
Kangphu Kang,Bhutan/China
Annapurna South,Nepal
Melungtse,China
Liushi Shan,China
Baruntse,Nepal
Pumori,Nepal
Nemjung,Nepal
Udren Zom,Pakistan
Nun Kun,India
Tilicho Peak,Nepal
Gauri Sankar,Nepal
Lenin Peak,Kyrgyzstan
Api,Nepal
Pauhunri,India
Korzhenevskaya,Tajikistan
Lunpo Gangri,China
Tirsuli,India
Dunagiri,India
Kangto,China
Nyegyi Kansang,China
Kezhen Peak,China
Shah Dhar,Afghanistan
Spantik,Pakistan
Khan Tengri,Kazakhstan
Shah Dhar,Pakistan
Kangto,India
Nyegyi Kansang,India
Pauhunri,China
Gauri Sankar,China
Lenin Peak,Tajikistan
Khan Tengri,Kyrgyzstan
