source-mountain,target-meters
Mount Everest,8848
K2,8611
Kangchenjunga,8586
Lhotse,8516
Makalu,8462
Cho Oyu,8201
Dhaulagiri,8167
Manaslu,8156
Nanga Parbat,8125
Annapurna,8091
Gasherbrum I,8068
Broad Peak,8047
Gasherbrum II,8035
Shishapangma,8012
Gyachung Kang,7952
Gasherbrum III,7946
Annapurna II,7937
Gasherbrum IV,7932
Himalchuli,7893
Distaghil Sar,7885
Ngadi Chuli,7871
Nuptse,7861
Khunyang Chhish,7852
Masherbrum,7821
Nanda Devi,7816
Chomo Lonzo,7804
Batura Sar,7795
Kanjut Sar,7790
Rakaposhi,7788
Namcha Barwa,7782
Batura II,7762
Kamet,7756
Saltoro Kangri,7742
Batura III,7729
Kongur Tagh,7719
Jannu,7710
Molamenqing,7710
Gurla Mandhata,7694
Tirich Mir,7690
Saser Kangri,7672
Chogolisa,7665
Shispare,7611
Changtse,7583
Trivor,7577
Gangkhar Puensum,7570
Gongga Shan,7556
Annapurna III,7555
Kula Kangri,7554
Chogolisa II,7554
Muztagh Ata,7546
Skyang Kangri,7545
Yukshin Gardan Sar,7530
Annapurna IV,7525
Mamostong Kangri,7516
Ismoil Somoni Peak,7495
Noshaq,7492
Pumari Chhish,7492
Passu Sar,7476
Malubiting,7458
Gangapurna,7455
Jengish Chokusu,7439
K12,7428
Istor-o-Nal,7403
Ghent Kangri,7401
Haramosh Peak,7397
Kabru,7394
Ultar,7388
Rimo I,7385
Sherpi Kangri,7380
Labuche Kang,7367
Kirat Chuli,7365
Skil Brum,7360
Gimmigela Chuli,7350
Bojohagur Duanasir,7329
Chamlang,7319
JomolhariĺĘ/Chomolhari,7314
Baltoro Kangri,7312
Siguang Ri,7308
The Crown,7295
Gyala Peri,7294
Porong Ri,7292
Baintha Brakk,7285
Yutmaru Sar,7283
K6,7282
Kangpenqing,7281
Mana Peak,7272
Muztagh Tower,7273
Diran,7257
Apsarasas Kangri,7245
Langtang Lirung,7227
Khartaphu,7213
Tongshanjiabu,7207
Langtang Ri,7205
Kangphu Kang,7204
Annapurna South,7219
Melungtse,7181
Liushi Shan,7167
Baruntse,7162
Pumori,7161
Nemjung,7140
Udren Zom,7140
Nun Kun,7135
Tilicho Peak,7134
Gauri Sankar,7134
Lenin Peak,7134
Api,7132
Pauhunri,7128
Korzhenevskaya,7105
Lunpo Gangri,7095
Tirsuli,7074
Dunagiri,7066
Kangto,7060
Nyegyi Kansang,7047
Kezhen Peak,7038
Shah Dhar,7038
Spantik,7027
Khan Tengri,7010
