actor
Tom Berenger
Keith David
Willem Dafoe
Forest Whitaker
Francesco Quinn
Kevin Dillon
John C. McGinley
Reggie Johnson
Mark Moses
Corey Glover
Johnny Depp
Chris Pedersen
Bob Orwig
Corkey Ford
David Neidorf
Charlie Sheen
Richard Edson
Tony Todd
Kevin Eshelman
James Terry McIlvain
J. Adam Glover
Ivan Kane
Paul Sanchez
Dale Dye
Peter Hicks
Basile Achara
Steve Barredo
Chris Castillejo
Andrew B. Clark
Bernardo Manalili
Than Rogers
Li Thi Van
Clarisa Ortacio
Romy Sevilla
Mathew Westfall
Nick Nicholson
Warren McLean
Li Mai Thao
Ron Barracks
Kevin Spacey
Annette Bening
Thora Birch
Wes Bentley
Mena Suvari
Chris Cooper
Peter Gallagher
Allison Janney
Scott Bakula
Sam Robards
Barry Del Sherman
Ara Celi
John Cho
Fort Atkinson
Sue Casey
Kent Faulcon
Brenda Wehle
Lisa Cloud
Alison Faulk
Krista Goodsitt
Lily Houtkin
Carolina Lancaster
Mona Leah
Chekesha Van Putten
Emily Zachary
Nancy Anderson
Reshma Gajjar
Stephanie Rizzo
Heather Joy Sher
Chelsea Hertford
Amber Smith
Joel McCrary
Marissa Jaret Winokur
Dennis Anderson
Matthew Kimbrough
Erin Cathryn Strubbe
Sylvester Stallone
Talia Shire
Burt Young
Carl Weathers
Brigitte Nielsen
Tony Burton
Michael Pataki
Dolph Lundgren
Stu Nahan
R.J. Adams
Al Bandiero
Dominic Barto
Danial Brown
James Brown
Rose Mary Campos
Jack Carpenter
Mark De Alessandro
Marty Denkin
Lou Fillipo
James 'Cannonball' Green
Dean Hammond
Rocky Krakoff
Sergei Levin
Tony Maffatone
Sylvia Meals
Dwayne McGee
LeRoy Neiman
George Pipasik
George Rogan
Barry Tompkins
Warner Wolf
Robert Doornick
Richard Blum
Gerald Berns
Ray Glanzmann
Julie Inouye
Patrick Pankhurst
Jean Thoreau
Jim Bullock
Frank D'Annibale
Rose Dursey
Richard Kelley
Craig Schaefer
Jeff Austin
Leslie Morris
Bob Giovane
Julio Herzer
George Spaventa
Rolf Williams
Jim Hodge
John Belushi
Dan Aykroyd
James Brown
Cab Calloway
Ray Charles
Aretha Franklin
Steve Cropper
Donald Dunn
Murphy Dunne
Willie Hall
Tom Malone
Lou Marini
Matt Murphy
Alan Rubin
Carrie Fisher
Henry Gibson
John Candy
Kathleen Freeman
Steve Lawrence
Twiggy
Frank Oz
Jeff Morris
Charles Napier
Steven Williams
Armand Cerami
Tom Erhart
Gerald Walling
Walter Levine
Alonzo Atkins
Chaka Khan
Stephen Bishop
John Landis
Kristi Oleson
Gary McLarty
Joe Cuttone
Layne Britton
Toni Fleming
Judith Belushi-Pisano
Rosie Shuster
Paul Reubens
Ben Piazza
Gwen Banta
Lari Taylor
Cindy Fisher
Elizabeth Hoy
Tony M. Conde
Eugene J. Anthony
Dean Hill
Gary Houston
Jack Orend
Gene Schuldt
Charles Mountain
John Lee Hooker
Walter Horton
Pinetop Perkins
Willie 'Big Eyes' Smith
Luther 'Guitar Jr.' Johnson
Calvin 'Fuzz' Jones
Carolyn Franklin
Brenda Bryant Corbett
Margaret Branch
De'voreaux White
Sheilah Wells
Lou Perryman
Stan Mazin
Russ Bruzek
Blair Burrows
Jack Callahan
Gene Janson
Gil Pearson
Aaron Jais
Lemetrius Daniels
Jeff Cahill
Curt Clendenin
Steve Cruz
Leonard Daniels
Sean Hayden
Babatunde Myers
Gary Patzik
J. Bernard Walton
Butch Williams
Wally Engelhardt
Michael Klenfner
Ralph Foody
Leonard R. Garner Jr.
Andrew Goodman
Eddy Donno
Steven Spielberg
Joe Walsh
Shirley Levine
Guy Pearce
Carrie-Anne Moss
Joe Pantoliano
Mark Boone Junior
Russ Fega
Jorja Fox
Stephen Tobolowsky
Harriet Sansom Harris
Thomas Lennon
Callum Keith Rennie
Kimberly Campbell
Marianne Muellerleile
Larry Holden
George Clooney
Vera Farmiga
Anna Kendrick
Jason Bateman
Amy Morton
Melanie Lynskey
J.K. Simmons
Sam Elliott
Danny McBride
Zach Galifianakis
Chris Lowell
Steve Eastin
Marvin Young
Lucas MacFadden
Adrienne Lamping
Meagan Flynn
Dustin Miles
Tamara Tungate
Laura Ackermann
Meghan Maguire
Courtney Kling
Matt O'Toole
Alan David
Erin McGrane
Cari Mohr
Jerry Vogel
Adhir Kalyan
Jeff Witzke
Dave Engfer
Paul Goetz
Michele Lee
Jennifer Flaks
Bill Yancey
John Mebruer
Ellen Gutierrez
Adam Rose
Kevin Pila
Kelly Bertha
Cozy Bailey
Lamorris Conner
Deborah L. Norman
Casey Bartels
Billy Phelan
Art Hill
Patricia Allison
David F. Rybicki
Andy Glantzman
K. Darnell Lewis
Jo Michelle Favaro
Stephanie Janiunas
Thomas M. Martilotti
Erin Welsh-Krengel
Marlene Gorkiewicz
Mark Sommers
Wilbur Weidlich
Grace Smith
Scott Lapinski
George Batten
Hugh Grant
James Fleet
Simon Callow
John Hannah
Kristin Scott Thomas
David Bower
Charlotte Coleman
Andie MacDowell
Timothy Walker
Sara Crowe
Ronald Herdman
Elspet Gray
Philip Voss
Rupert Vansittart
Nicola Walker
Paul Stacey
Simon Kunz
Rowan Atkinson
Robin McCaffrey
Michael Mears
Kenneth Griffith
David Haig
Sophie Thompson
Corin Redgrave
Donald Weedon
Nigel Hastings
Emily Morgan
Amanda Mealing
Melissa Knatchbull
Polly Kemp
Anna Chancellor
Hannah Taylor Gordon
Bernice Stegers
Robert Lang
Jeremy Kemp
Rosalie Crutchley
Ken Drury
Struan Rodger
Lucy Hornak
Randall Paul
Pat Starr
Tim Thomas
Neville Phillips
Susanna Hamnett
John Abbott
Richard Butler
David Wright
Ray Uren
Gordon Blackwell
Ron Griffiths
Richard Allen
Mark James
Jason Bruer
Simon Wallace
Jason McDermid
Bryn Burrows
Paulette Ivory
Sigourney Weaver
Winona Ryder
Dominique Pinon
Ron Perlman
Gary Dourdan
Michael Wincott
Kim Flowers
Dan Hedaya
J.E. Freeman
Brad Dourif
Raymond Cruz
Leland Orser
Carolyn Campbell
Marlene Bush
David St. James
Rodney Mitchell
Robert Faltisco
David Rowe
Garrett House
Rod Damer
Mark Mansfield
Daniel Raymont
