source-player,target-birthdate
Antonio Di Natale,13/10/1977
Rafael Marquez,13/2/1979
Sebastian Kehl,13/2/1980
Carles Puyol,13/4/1978
Florent Malouda,13/6/1980
Fabio Cannavaro,13/9/1973
Luizao,14/11/1975
Nicolas Anelka,14/3/1979
Cristiano Zanetti,14/4/1977
Massimo Oddo,14/6/1976
Benito Carbone,14/8/1971
Jared Borgetti,14/8/1974
Alex,14/9/1977
Martin Petrov,15/1/1979
El Hadji Diouf,15/1/1981
David Trezeguet,15/10/1977
Milenko Acimovic,15/2/1977
Anders Andersson,15/3/1974
Mikael Forssell,15/3/1981
Tore Andre Flo,15/6/1973
Wilfred Bouma,15/6/1978
Marco Di Vaio,15/7/1976
Angelo Peruzzi,16/2/1970
Fredrik Ljungberg,16/4/1977
Igor Tudor,16/4/1978
Cuauhtemoc Blanco,17/1/1973
Sebastian Abreu,17/10/1976
Gaizka Mendieta,17/3/1974
Alvaro Recoba,17/3/1976
Leandro Romagnoli,17/3/1981
Steven Pienaar,17/3/1982
Stefano Fiore,17/4/1975
Anders Svensson,17/7/1976
Jan Kromkamp,17/8/1980
Simone Perrotta,17/9/1977
Les Ferdinand,18/12/1966
Santiago Ca?izares,18/12/1969
Bobby Robson,18/2/1933
Roberto Baggio,18/2/1967
Gary Neville,18/2/1975
Danny Murphy,18/3/1977
Sebastien Frey,18/3/1980
Brad Friedel,18/5/1971
Danny Mills,18/5/1977
Ricardo Carvalho,18/5/1978
Vincenzo Montella,18/6/1974
Sol Campbell,18/9/1974
Luis Gonzalez,19/1/1981
Laurent Blanc,19/11/1965
Mauro Galvao,19/12/1961
Ryan Babel,19/12/1986
Gianluca Zambrotta,19/2/1977
Alessandro Nesta,19/3/1976
Kolo Toure,19/3/1981
Diego Forlan,19/5/1979
Andrea Pirlo,19/5/1979
Marco Materazzi,19/8/1973
Ashley Cole,20/12/1980
Fernando Torres,20/3/1984
Iker Casillas,20/5/1981
Petr Cech,20/5/1982
Frank Lampard,20/6/1978
Claudio Reyna,20/7/1973
Phil Neville,21/1/1977
Kieran Richardson,21/10/1984
Vincenzo Iaquinta,21/11/1979
Ronaldinho,21/3/1980
Quinton Fortune,21/5/1977
Michel Platini,21/6/1955
Fernando Cavenaghi,21/9/1983
Hidetoshi Nakata,22/1/1977
Jonathan Woodgate,22/1/1980
Fabricio Coloccini,22/1/1982
Emmanuel Olisadebe,22/12/1978
Hakan Yakin,22/2/1977
Kaka,22/4/1982
Dennis Rommedahl,22/7/1978
Stewart Downing,22/7/1984
Ronaldo,22/9/1976
Harry Kewell,22/9/1978
Arjen Robben,23/1/1984
Kahveci Nihat,23/11/1979
Jerzy Dudek,23/3/1973
Zinedine Zidane,23/6/1972
Giovane Elber,23/7/1972
Vincent Candela,24/10/1973
Juan Pablo Angel,24/10/1975
Wayne Rooney,24/10/1985
Mauro Rosales,24/2/1981
Diego Placente,24/4/1977
Shunsuke Nakamura,24/6/1978
Christian Wilhelmsson,24/6/1987
Lionel Messi,24/6/1987
Dino Baggio,24/7/1971
Robinho,25/1/1984
Shaun Wright Phillips,25/10/1981
Jamie Redknapp,25/6/1973
Fabian Carini,26/12/1979
Pierre Wome,26/3/1979
Luca Toni,26/5/1977
Michael Ballack,26/9/1976
Ricardo Quaresma,26/9/1983
Dmitry Alenichev,27/10/1972
Kakha Kaladze,27/2/1978
Raul Gonzalez,27/6/1977
Jose Luis Chilavert,27/7/1965
Sidney Govou,27/7/1979
Deco,27/8/1977
Francesco Totti,27/9/1976
Marko Babic,28/1/1981
Milan Baros,28/10/1981
Obafemi Martins,28/10/1984
Diego Ribas da Cunha,28/2/1985
Stephane Chapuisat,28/6/1969
Michael Carrick,28/7/1981
Edwin Van der Sar,29/10/1970
Ryan Giggs,29/11/1973
Enrico Chiesa,29/12/1970
Kieron Dyer,29/12/1978
Ernesto Farias,29/5/1980
Juninho Pernambucano,30/1/1975
Peter Crouch,30/1/1981
Dimitar Berbatov,30/1/1981
Abel Xavier,30/11/1972
Fabian Ernst,30/5/1979
Umit Davala,30/7/1973
Pavel Nedved,30/8/1972
Andy Van der Meyde,30/9/1979
Denis Irwin,31/10/1965
Eddie Johnson,31/3/1984
Philippe Christanval,31/8/1978
