player
Antonio Di Natale
Rafael Marquez
Sebastian Kehl
Carles Puyol
Florent Malouda
Fabio Cannavaro
Luizao
Nicolas Anelka
Cristiano Zanetti
Massimo Oddo
Benito Carbone
Jared Borgetti
Alex
Martin Petrov
El Hadji Diouf
David Trezeguet
Milenko Acimovic
Anders Andersson
Mikael Forssell
Tore Andre Flo
Wilfred Bouma
Marco Di Vaio
Angelo Peruzzi
Fredrik Ljungberg
Igor Tudor
Cuauhtemoc Blanco
Sebastian Abreu
Gaizka Mendieta
Alvaro Recoba
Leandro Romagnoli
Steven Pienaar
Stefano Fiore
Anders Svensson
Jan Kromkamp
Simone Perrotta
Les Ferdinand
Santiago Ca?izares
Bobby Robson
Roberto Baggio
Gary Neville
Danny Murphy
Sebastien Frey
Brad Friedel
Danny Mills
Ricardo Carvalho
Vincenzo Montella
Sol Campbell
Luis Gonzalez
Laurent Blanc
Mauro Galvao
Ryan Babel
Gianluca Zambrotta
Alessandro Nesta
Kolo Toure
Diego Forlan
Andrea Pirlo
Marco Materazzi
Ashley Cole
Fernando Torres
Iker Casillas
Petr Cech
Frank Lampard
Claudio Reyna
Phil Neville
Kieran Richardson
Vincenzo Iaquinta
Ronaldinho
Quinton Fortune
Michel Platini
Fernando Cavenaghi
Hidetoshi Nakata
Jonathan Woodgate
Fabricio Coloccini
Emmanuel Olisadebe
Hakan Yakin
Kaka
Dennis Rommedahl
Stewart Downing
Ronaldo
Harry Kewell
Arjen Robben
Kahveci Nihat
Jerzy Dudek
Zinedine Zidane
Giovane Elber
Vincent Candela
Juan Pablo Angel
Wayne Rooney
Mauro Rosales
Diego Placente
Shunsuke Nakamura
Christian Wilhelmsson
Lionel Messi
Dino Baggio
Robinho
Shaun Wright Phillips
Jamie Redknapp
Fabian Carini
Pierre Wome
Luca Toni
Michael Ballack
Ricardo Quaresma
Dmitry Alenichev
Kakha Kaladze
Raul Gonzalez
Jose Luis Chilavert
Sidney Govou
Deco
Francesco Totti
Marko Babic
Milan Baros
Obafemi Martins
Diego Ribas da Cunha
Stephane Chapuisat
Michael Carrick
Edwin Van der Sar
Ryan Giggs
Enrico Chiesa
Kieron Dyer
Ernesto Farias
Juninho Pernambucano
Peter Crouch
Dimitar Berbatov
Abel Xavier
Fabian Ernst
Umit Davala
Pavel Nedved
Andy Van der Meyde
Denis Irwin
Eddie Johnson
Philippe Christanval
