source-player,target-birthplace
Michael Reiziger,AmstelveevHolland
Ryan Babel,Amsterdam Holland
Mario Melchiot,Amsterdam Holland
Djibril Cisse,ArlesFrance
Andy Van der Meyde,Arnheim Netherlands
Simone Perrotta,Ashon England
Roque Santa Cruz,Asuncion Paraguay
Angelos Basinas,Athens Greece
Stylianos Giannakopoulos,Athens Greece
Benito Carbone,Bagnara Calabra Italy
Damien Duff,Ballyboden Ireland
Albert Luque,BarcelonaSpain
Antonio Cassano,BariItaly
Jamie Redknapp,Barton-on-SeaEngland
Hakan Yakin,BaselSwitzerland
Jermaine Defoe,BecktonEngland
Arjen Robben,BedumHolland
Mateja Kezman,Belgrade Serbia-Montenegro
Dejan Stankovic,Belgrade Yougoslavie
Milenko Acimovic,BelgradeYugoslavia
Niko Kovac,Berlin Germany
Thomas Hassler,BerlinGermany
Christian Ziege,BerlinGermany
Paul Robinson,Beverley England
Alberto Gilardino,Biella Italy
Dimitar Berbatov,BlagoevgradBulgaria
Vincent Candela,BordeauxFrance
Kaka,BrasiliaBrazil
Andrea Pirlo,Brescia Italy
Diego Placente,Buenos Aires Argentina
Gabriel Milito,Buenos Aires Argentina
Claudio Caniggia,Buenos AiresArgentina
Javier Zanetti,Buenos AiresArgentina
Fernando Redondo,Buenos AiresArgentina
Fernando Caceres,Buenos AiresArgentina
Gary Neville,BuryEngland
Phil Neville,BuryEngland
Mido,Cairo Egypt
Roberto Baggio,CaldognoItaly
Claudio Pizarro,Callao Peru
Nolberto Solano,Callao Peru
Dino Baggio,CamposampieroItaly
Dwight Yorke,CanaanTrinidad & Tobago
Diego Lugano,Canelones  Uruguay
Quinton Fortune,Cape TownSouth Africa
Leandro Romagnoli,Capital FederalArgentina
Federico Insua,Capital FederalArgentina
Ryan Giggs,CardiffWales
Cristiano Zanetti,CarraraItaly
Eddie Lewis,Cerritos California United States
Mikael Silvestre,Chambray-Les-Tours France
Pavel Nedved,Cheb Czech Republic
Michael Ballack,ChemnitzGermany
Gianluca Zambrotta,ComoItaly
Alessandro Del Piero,ConeglianoItaly
Michael Laudrup,Copenhagen Denmark
Dennis Rommedahl,CopenhagenDenmark
Fabricio Coloccini,CordobaArgentina
Denis Irwin,CorkIreland
Stefano Fiore,CosenzaItaly
Gabriel Heinze,CrespoArgentina
Vincenzo Iaquinta,Crotone Italy
Jared Borgetti,CuliacanMexico
Alex,CuritibaBrazil
El Hadji Diouf,DakarSenegal
Pierre Wome,DoualaCameroon
Ian Harte,DroghedaIreland
