player
Michael Reiziger
Ryan Babel
Mario Melchiot
Djibril Cisse
Andy Van der Meyde
Simone Perrotta
Roque Santa Cruz
Angelos Basinas
Stylianos Giannakopoulos
Benito Carbone
Damien Duff
Albert Luque
Antonio Cassano
Jamie Redknapp
Hakan Yakin
Jermaine Defoe
Arjen Robben
Mateja Kezman
Dejan Stankovic
Milenko Acimovic
Niko Kovac
Thomas Hassler
Christian Ziege
Paul Robinson
Alberto Gilardino
Dimitar Berbatov
Vincent Candela
Kaka
Andrea Pirlo
Diego Placente
Gabriel Milito
Claudio Caniggia
Javier Zanetti
Fernando Redondo
Fernando Caceres
Gary Neville
Phil Neville
Mido
Roberto Baggio
Claudio Pizarro
Nolberto Solano
Dino Baggio
Dwight Yorke
Diego Lugano
Quinton Fortune
Leandro Romagnoli
Federico Insua
Ryan Giggs
Cristiano Zanetti
Eddie Lewis
Mikael Silvestre
Pavel Nedved
Michael Ballack
Gianluca Zambrotta
Alessandro Del Piero
Michael Laudrup
Dennis Rommedahl
Fabricio Coloccini
Denis Irwin
Stefano Fiore
Gabriel Heinze
Vincenzo Iaquinta
Jared Borgetti
Alex
El Hadji Diouf
Pierre Wome
Ian Harte
Robbie Keane
Anders Svensson
Joseba Etxeberria
Ivan Hurtado
Fernando Couto
Martin Laursen
Hernan Crespo
Sebastian Kehl
Cristiano Ronaldo
Jurgen Klinsmann
Roberto Carlos
Enrico Chiesa
Barry Ferguson
Lukas Podolski
Sergei Rebrov
Florent Malouda
Christoph Metzelder
Ivan Klasnic
Fabian Ernst
Wilfred Bouma
Georgios Samaras
Nick Barmby
Alex Aguinaga
Kieron Dyer
Emre Belozoglu
Michel Platini
Steven Pienaar
Lucas Radebe
Benedict McCarthy
Oliver Kahn
Salif Diao
Kiki Musampa
Joseph Yobo
Samuel Kuffour
John Carew
Juan Sebastian Veron
Obafemi Martins
Jari Litmanen
Brad Friedel
David Villa
Stephane Chapuisat
Emile Heskey
Thierry Henry
David Beckham
Savo Milosevic
Steve Finnan
Ricardo Quaresma
Maniche
Nuno Valente
Jamie Carragher
Wayne Rooney
Claudio Reyna
Carles Puyol
Oliver Neuville
Lee Bowyer
Shaun Wright Phillips
Giovane Elber
Jose Luis Chilavert
Bruno N'Gotty
Mark Van Bommel
Peter Crouch
Fernando Torres
Raul Gonzalez
Santiago Caizares
Jan Kromkamp
Zlatan Ibrahimovic
Gerald Asamoah
Roberto Baronio
Umit Davala
Zlatko Zahovic
Zinedine Zidane
Juan Pablo Angel
Mark Viduka
Cuauhtemoc Blanco
Jonathan Woodgate
Sebastian Abreu
Stewart Downing
Paolo Montero
Alvaro Recoba
Fabian Carini
Diego Forlan
Ricardo Pereira
Pier Luigi Casiraghi
Thomas Hitzlsperger
Markus Babbel
Abel Xavier
Fabio Cannavaro
Tim Borowski
Sylvain Wiltord
Sol Campbell
Rigobert Song
Samuel Eto'o
Danny Mills
Kevin Kuranyi
Daniele De Rossi
Marco Di Vaio
Francesco Totti
Alessandro Nesta
Frank Lampard
Jon Dahl Tomasson
Giovanni Van Bronckhorst
David Trezeguet
Luizao
Jerzy Dudek
Deco
Robinho
Bobby Robson
Nigel Martyn
Harry Kewell
Cosmin Contra
Anders Andersson
Sven Goran Eriksson
Dario Silva
Ernesto Farias
Wesley Sneijder
Marco Van Basten
Milan Baros
Vicente
Dmitry Alenichev
Nicolas Anelka
Mauro Rosales
Angelo Peruzzi
Edwin Van der Sar
Martin Petrov
Michael Carrick
Emmanuel Olisadebe
Gareth Southgate
Ian Wright
Hidetoshi Nakata
Shunsuke Nakamura
Dado Prso
Dario Simic
Rafael Marquez
