source-Eddie Johnson,target-USA
John O'Brien,USA
Josh Wolff,USA
Eddie Lewis,USA
Conor Casey,USA
Fabian Carini,Uruguay
Diego Lugano,Uruguay
Diego Forlan,Uruguay
Brad Friedel,United States
Claudio Reyna,United States
Dwight Yorke,Trinidad & Tobago
Hakan Yakin,Switzerland
Andreas Andersson,Sweden
Fredrik Ljungberg,Sweden
Markus Rosenberg,Sweden
Christian Wilhelmsson,Sweden
Zlatan Ibrahimovic,Sweden
Anders Svensson,Sweden
Antonio Di Natale,Striker
Cesc Fabregas,Spain
David Villa,Spain
Carlos Marchena,Spain
Iker Casillas,Spain
Fernando Torres,Spain
Raul Gonzalez,Spain
Vicente,Spain
Carles Puyol,Spain
Steven Pienaar,South Africa
Zlatko Zahovic,Slovenia
Dejan Stankovic,Serbia-Montenegro
Mateja Kezman,Serbia-Montenegro
Salif Diao,Senegal
El Hadji Diouf,Senegal
Barry Ferguson,Scotland
Cristiano Ronaldo,Portugal
Ricardo Quaresma,Portugal
Helder Postiga,Portugal
Ricardo Carvalho,Portugal
Deco,Portugal
Maniche,Portugal
Nuno Valente,Portugal
Ricardo Pereira,Portugal
Claudio Pizarro,Peru
Nolberto Solano,Peru
Jose Luis Chilavert,Paraguay
Roque Santa Cruz,Paraguay
John Carew,Norway
Obafemi Martins,Nigeria
Joseph Yobo,Nigeria
Cuauhtemoc Blanco,Mexico
Jared Borgetti,Mexico
Rafael Marquez,Mexico
Hidetoshi Nakata,Japan
Didier Drogba,Ivory Coast
Fabio Cannavaro,Italy
Filippo Inzaghi,Italy
Francesco Totti,Italy
Luca Toni,Italy
Marco Materazzi,Italy
Massimo Oddo,Italy
Simone Perrotta,Italy
Vincenzo Iaquinta,Italy
Cristiano Zanetti,Italy
Alberto Gilardino,Italy
Alessandro Nesta,Italy
Roberto Baggio,Italy
Angelo Peruzzi,Italy
Andrea Pirlo,Italy
Antonio Cassano,Italy
Marco Di Vaio,Italy
Robbie Keane,Ireland
Damien Duff,Ireland
Marco Van Basten,Holland
Georgios Samaras,Greece
Angelos Basinas,Greece
Michael Essien,Ghana
Samuel Kuffour,Ghana
Michael Ballack,Germany
Christoph Metzelder,Germany
Jurgen Klinsmann,Germany
Oliver Kahn,Germany
Oliver Neuville,Germany
Tim Borowski,Germany
Lukas Podolski,Germany
Markus Babbel,Germany
Jens Lehmann,Germany
Kevin Kuranyi,Germany
Mikael Silvestre,France
Nicolas Anelka,France
Djibril Cisse,France
Claude Makelele,France
David Trezeguet,France
Zinedine Zidane,France
Michel Platini,France
Frederic Kanoute,France
Lilian Thuram,France
Jari Litmanen,Finland
David Beckham,England
Stephen Warnock,England
Wayne Rooney,England
Ashley Cole,England
Frank Lampard,England
Kieron Dyer,England
Jonathan Woodgate,England
Gary Neville,England
Jamie Carragher,England
Sol Campbell,England
Emile Heskey,England
Phil Neville,England
Paul Robinson,England
Shaun Wright Phillips,England
Ivan Hurtado,Ecuador
Dennis Rommedahl,Denmark
Michael Laudrup,Denmark
Jesper Gronkjaer,Denmark
Jon Dahl Tomasson,Denmark
Tomas Rosicky,Czech Republic
Pavel Nedved,Czech Republic
Petr Cech,Czech Republic
Milan Baros,Czech Republic
Marek Heinz,Czech Republic
Marek Jankulovski,Czech Republic
Dado Prso,Croatia
Ivica Olic,Croatia
