Eddie Johnson
John O'Brien
Josh Wolff
Eddie Lewis
Conor Casey
Fabian Carini
Diego Lugano
Diego Forlan
Brad Friedel
Claudio Reyna
Dwight Yorke
Hakan Yakin
Andreas Andersson
Fredrik Ljungberg
Markus Rosenberg
Christian Wilhelmsson
Zlatan Ibrahimovic
Anders Svensson
Antonio Di Natale
Cesc Fabregas
David Villa
Carlos Marchena
Iker Casillas
Fernando Torres
Raul Gonzalez
Vicente
Carles Puyol
Steven Pienaar
Zlatko Zahovic
Dejan Stankovic
Mateja Kezman
Salif Diao
El Hadji Diouf
Barry Ferguson
Cristiano Ronaldo
Ricardo Quaresma
Helder Postiga
Ricardo Carvalho
Deco
Maniche
Nuno Valente
Ricardo Pereira
Claudio Pizarro
Nolberto Solano
Jose Luis Chilavert
Roque Santa Cruz
John Carew
Obafemi Martins
Joseph Yobo
Cuauhtemoc Blanco
Jared Borgetti
Rafael Marquez
Hidetoshi Nakata
Didier Drogba
Fabio Cannavaro
Filippo Inzaghi
Francesco Totti
Luca Toni
Marco Materazzi
Massimo Oddo
Simone Perrotta
Vincenzo Iaquinta
Cristiano Zanetti
Alberto Gilardino
Alessandro Nesta
Roberto Baggio
Angelo Peruzzi
Andrea Pirlo
Antonio Cassano
Marco Di Vaio
Robbie Keane
Damien Duff
Marco Van Basten
Georgios Samaras
Angelos Basinas
Michael Essien
Samuel Kuffour
Michael Ballack
Christoph Metzelder
Jurgen Klinsmann
Oliver Kahn
Oliver Neuville
Tim Borowski
Lukas Podolski
Markus Babbel
Jens Lehmann
Kevin Kuranyi
Mikael Silvestre
Nicolas Anelka
Djibril Cisse
Claude Makelele
David Trezeguet
Zinedine Zidane
Michel Platini
Frederic Kanoute
Lilian Thuram
Jari Litmanen
David Beckham
Stephen Warnock
Wayne Rooney
Ashley Cole
Frank Lampard
Kieron Dyer
Jonathan Woodgate
Gary Neville
Jamie Carragher
Sol Campbell
Emile Heskey
Phil Neville
Paul Robinson
Shaun Wright Phillips
Ivan Hurtado
Dennis Rommedahl
Michael Laudrup
Jesper Gronkjaer
Jon Dahl Tomasson
Tomas Rosicky
Pavel Nedved
Petr Cech
Milan Baros
Marek Heinz
Marek Jankulovski
Dado Prso
Ivica Olic
