source-Field,target-Laureate
Chemistry,Jacobus Henricus van 't Hoff•Ŕ_
Literature,Sully Prudhomme•Ŕ_
Physics,Wilhelm Conrad R•Ŕ_ntgen•Ŕ_
Medicine,Emil Adolf von Behring•Ŕ_
The Nobel Peace Prize,Fr•Ŕ_d•Ŕ_ric Passy•Ŕ_
The Nobel Peace Prize,Jean Dunant•Ŕ_
Chemistry,Hermann Fischer•Ŕ_
Literature,Christian Mommsen•Ŕ_
Physics,Hendrik Lorentz•Ŕ_
Physics,Pieter Zeeman•Ŕ_
Medicine,Ronald Ross•Ŕ_
The Nobel Peace Prize,Charles Albert Gobat•Ŕ_
The Nobel Peace Prize,•Ŕ_lie Ducommun•Ŕ_
Chemistry,Svante August Arrhenius•Ŕ_
Literature,Bj•Ŕ_rnstjerne Martinus Bj•Ŕ_rnson•Ŕ_
Physics,Antoine Henri Becquerel•Ŕ_
Physics,Marie Curie n•Ŕ_e Sklodowska•Ŕ_
Physics,Pierre Curie•Ŕ_
Medicine,Niels Ryberg Finsen•Ŕ_
The Nobel Peace Prize,William Randal Cremer•Ŕ_
Chemistry,Sir William Ramsay•Ŕ_
Literature,Fr•Ŕ_d•Ŕ_ric Mistral•Ŕ_
Literature,Jos•Ŕ_ Echegaray y Eizaguirre•Ŕ_
Physics,Lord Rayleigh (John William Strutt)•Ŕ_
Medicine,Ivan Petrovich Pavlov•Ŕ_
The Nobel Peace Prize,Institut de droit international (Institute of International Law)•Ŕ_
Chemistry,Johann Friedrich Wilhelm Adolf von Baeyer•Ŕ_
Literature,Henryk Sienkiewicz•Ŕ_
Physics,Philipp Eduard Anton von Lenard•Ŕ_
Medicine,Robert Koch•Ŕ_
The Nobel Peace Prize,Baroness Bertha Sophie Felicita von Suttner n•Ŕ_e Countess Kinsky von Chinic und Tettau•Ŕ_
Chemistry,Henri Moissan•Ŕ_
Literature,Giosu•Ŕ_ Carducci•Ŕ_
Physics,Joseph John Thomson•Ŕ_
Medicine,Camillo Golgi•Ŕ_
Medicine,Santiago Ram•Ŕ_n y Cajal•Ŕ_
The Nobel Peace Prize,Theodore Roosevelt•Ŕ_
Chemistry,Eduard Buchner•Ŕ_
Literature,Rudyard Kipling•Ŕ_
Physics,Albert Abraham Michelson•Ŕ_
Medicine,Charles Louis Alphonse Laveran•Ŕ_
The Nobel Peace Prize,Ernesto Teodoro Moneta•Ŕ_
The Nobel Peace Prize,Louis Renault•Ŕ_
Chemistry,Ernest Rutherford•Ŕ_
Literature,Rudolf Christoph Eucken•Ŕ_
Physics,Gabriel Lippmann•Ŕ_
Medicine,Ilya Ilyich Mechnikov•Ŕ_
Medicine,Paul Ehrlich•Ŕ_
The Nobel Peace Prize,Fredrik Bajer•Ŕ_
The Nobel Peace Prize,Klas Pontus Arnoldson•Ŕ_
Chemistry,Wilhelm Ostwald•Ŕ_
Literature,Selma Ottilia Lovisa Lagerl•Ŕ_f•Ŕ_
Physics,Guglielmo Marconi•Ŕ_
Physics,Karl Ferdinand Braun•Ŕ_
Medicine,Emil Theodor Kocher•Ŕ_
The Nobel Peace Prize,Auguste Marie Fran•Ŕ_ois Beernaert•Ŕ_
The Nobel Peace Prize,Paul Henri Benjamin Balluet d'Estournelles de Constant Baron de Constant de Rebecque•Ŕ_
Chemistry,Otto Wallach•Ŕ_
Literature,Paul Johann Ludwig Heyse•Ŕ_
Physics,Johannes Diderik van der Waals•Ŕ_
Medicine,Albrecht Kossel•Ŕ_
The Nobel Peace Prize,Bureau international permanent de la Paix (Permanent International Peace Bureau)•Ŕ_
Chemistry,Marie Curie n•Ŕ_e Sklodowska•Ŕ_
Literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck•Ŕ_
Physics,Wilhelm Wien•Ŕ_
Medicine,Allvar Gullstrand•Ŕ_
The Nobel Peace Prize,Alfred Hermann Fried•Ŕ_
The Nobel Peace Prize,Tobias Michael Carel Asser•Ŕ_
Chemistry,Paul Sabatier•Ŕ_
Chemistry,Victor Grignard•Ŕ_
Literature,Gerhart Johann Robert Hauptmann•Ŕ_
Physics,Nils Gustaf Dal•Ŕ_n•Ŕ_
Medicine,Alexis Carrel•Ŕ_
The Nobel Peace Prize,Elihu Root•Ŕ_
Chemistry,Alfred Werner•Ŕ_
Literature,Rabindranath Tagore•Ŕ_
Physics,Heike Kamerlingh Onnes•Ŕ_
Medicine,Charles Robert Richet•Ŕ_
The Nobel Peace Prize,Henri La Fontaine•Ŕ_
Chemistry,Theodore William Richards•Ŕ_
Literature,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Physics,Max von Laue•Ŕ_
Medicine,Robert B•Ŕ_r•Ŕ_ny•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,Richard Martin Willst•Ŕ_tter•Ŕ_
Literature,Romain Rolland•Ŕ_
Physics,Sir William Henry Bragg•Ŕ_
Physics,William Lawrence Bragg•Ŕ_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Carl Gustaf Verner von Heidenstam•Ŕ_
Physics,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Henrik Pontoppidan•Ŕ_
Literature,Karl Adolph Gjellerup•Ŕ_
Physics,Charles Glover Barkla•Ŕ_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,Comit•Ŕ_ international de la Croix Rouge (International Committee of the Red Cross)•Ŕ_
Chemistry,Fritz Haber•Ŕ_
Literature,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Physics,Max Karl Ernst Ludwig Planck•Ŕ_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Carl Friedrich Georg Spitteler•Ŕ_
Physics,Johannes Stark•Ŕ_
Medicine,Jules Bordet•Ŕ_
The Nobel Peace Prize,Thomas Woodrow Wilson•Ŕ_
Chemistry,Walther Hermann Nernst•Ŕ_
Literature,Knut Pedersen Hamsun•Ŕ_
Physics,Charles Edouard Guillaume•Ŕ_
Medicine,Schack August Steenberg Krogh•Ŕ_
The Nobel Peace Prize,L•Ŕ_on Victor Auguste Bourgeois•Ŕ_
Chemistry,Frederick Soddy•Ŕ_
Literature,Anatole France•Ŕ_
Physics,Albert Einstein•Ŕ_
Medicine,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Peace Prize,Christian Lous Lange•Ŕ_
The Nobel Peace Prize,Karl Hjalmar Branting•Ŕ_
Chemistry,Francis William Aston•Ŕ_
Literature,Jacinto Benavente•Ŕ_
Physics,Niels Henrik David Bohr•Ŕ_
Medicine,Archibald Vivian Hill•Ŕ_
Medicine,Otto Fritz Meyerhof•Ŕ_
The Nobel Peace Prize,Fridtjof Nansen•Ŕ_
Chemistry,Fritz Pregl•Ŕ_
Literature,William Butler Yeats•Ŕ_
Physics,Robert Andrews Millikan•Ŕ_
Medicine,Frederick Grant Banting•Ŕ_
Medicine,John James Rickard Macleod•Ŕ_
The Nobel Peace Prize,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Chemistry,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
Literature,Wladyslaw Stanislaw Reymont•Ŕ_
Physics,Karl Manne Georg Siegbahn•Ŕ_
Medicine,Willem Einthoven•Ŕ_
