source-Year,target-Laureate
1901,Jacobus Henricus van 't HoffÊ
1901,Sully PrudhommeÊ
1901,Wilhelm Conrad RntgenÊ
1901,Emil Adolf von BehringÊ
1901,Frdric PassyÊ
1901,Jean Henry DunantÊ
1902,Hermann Emil FischerÊ
1902,Christian Matthias Theodor MommsenÊ
1902,Hendrik Antoon LorentzÊ
1902,Pieter ZeemanÊ
1902,Ronald RossÊ
1902,Charles Albert GobatÊ
1902,lie DucommunÊ
1903,Svante August ArrheniusÊ
1903,Bj¿rnstjerne Martinus Bj¿rnsonÊ
1903,Antoine Henri BecquerelÊ
1903,Marie Curie ne SklodowskaÊ
1903,Pierre CurieÊ
1903,Niels Ryberg FinsenÊ
1903,William Randal CremerÊ
1904,Sir William RamsayÊ
1904,Frdric MistralÊ
1904,Jos Echegaray y EizaguirreÊ
1904,Lord Rayleigh (John William Strutt)Ê
1904,Ivan Petrovich PavlovÊ
1904,Institut de droit international (Institute of International Law)Ê
1905,Johann Friedrich Wilhelm Adolf von BaeyerÊ
1905,Henryk SienkiewiczÊ
1905,Philipp Eduard Anton von LenardÊ
1905,Robert KochÊ
1905,Baroness Bertha Sophie Felicita von Suttner ne Countess Kinsky von Chinic und TettauÊ
1906,Henri MoissanÊ
1906,Giosu CarducciÊ
1906,Joseph John ThomsonÊ
1906,Camillo GolgiÊ
1906,Santiago Ramn y CajalÊ
1906,Theodore RooseveltÊ
1907,Eduard BuchnerÊ
1907,Rudyard KiplingÊ
1907,Albert Abraham MichelsonÊ
1907,Charles Louis Alphonse LaveranÊ
1907,Ernesto Teodoro MonetaÊ
1907,Louis RenaultÊ
1908,Ernest RutherfordÊ
1908,Rudolf Christoph EuckenÊ
1908,Gabriel LippmannÊ
1908,Ilya Ilyich MechnikovÊ
1908,Paul EhrlichÊ
1908,Fredrik BajerÊ
1908,Klas Pontus ArnoldsonÊ
1909,Wilhelm OstwaldÊ
1909,Selma Ottilia Lovisa LagerlfÊ
1909,Guglielmo MarconiÊ
1909,Karl Ferdinand BraunÊ
1909,Emil Theodor KocherÊ
1909,Auguste Marie Franois BeernaertÊ
1909,Paul Henri Benjamin Balluet d'Estournelles de Constant Baron de Constant de RebecqueÊ
1910,Otto WallachÊ
1910,Paul Johann Ludwig HeyseÊ
1910,Johannes Diderik van der WaalsÊ
1910,Albrecht KosselÊ
1910,Bureau international permanent de la Paix (Permanent International Peace Bureau)Ê
1911,Marie Curie ne SklodowskaÊ
1911,Count Maurice (Mooris) Polidore Marie Bernhard MaeterlinckÊ
1911,Wilhelm WienÊ
1911,Allvar GullstrandÊ
1911,Alfred Hermann FriedÊ
1911,Tobias Michael Carel AsserÊ
1912,Paul SabatierÊ
1912,Victor GrignardÊ
1912,Gerhart Johann Robert HauptmannÊ
1912,Nils Gustaf DalnÊ
1912,Alexis CarrelÊ
1912,Elihu RootÊ
1913,Alfred WernerÊ
1913,Rabindranath TagoreÊ
1913,Heike Kamerlingh OnnesÊ
1913,Charles Robert RichetÊ
1913,Henri La FontaineÊ
1914,Theodore William RichardsÊ
1914,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1914,Max von LaueÊ
1914,Robert BrnyÊ
1914,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1915,Richard Martin WillsttterÊ
1915,Romain RollandÊ
1915,Sir William Henry BraggÊ
1915,William Lawrence BraggÊ
1915,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1915,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1916,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1916,Carl Gustaf Verner von HeidenstamÊ
1916,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1916,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1916,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1917,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1917,Henrik PontoppidanÊ
1917,Karl Adolph GjellerupÊ
1917,Charles Glover BarklaÊ
1917,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1917,Comit international de la Croix Rouge (International Committee of the Red Cross)Ê
1918,Fritz HaberÊ
1918,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1918,Max Karl Ernst Ludwig PlanckÊ
1918,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1918,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1919,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1919,Carl Friedrich Georg SpittelerÊ
1919,Johannes StarkÊ
1919,Jules BordetÊ
1919,Thomas Woodrow WilsonÊ
1920,Walther Hermann NernstÊ
1920,Knut Pedersen HamsunÊ
1920,Charles Edouard GuillaumeÊ
1920,Schack August Steenberg KroghÊ
1920,Lon Victor Auguste BourgeoisÊ
1921,Frederick SoddyÊ
1921,Anatole FranceÊ
1921,Albert EinsteinÊ
1921,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1921,Christian Lous LangeÊ
1921,Karl Hjalmar BrantingÊ
1922,Francis William AstonÊ
1922,Jacinto BenaventeÊ
1922,Niels Henrik David BohrÊ
1922,Archibald Vivian HillÊ
1922,Otto Fritz MeyerhofÊ
1922,Fridtjof NansenÊ
1923,Fritz PreglÊ
1923,William Butler YeatsÊ
1923,Robert Andrews MillikanÊ
1923,Frederick Grant BantingÊ
1923,John James Rickard MacleodÊ
1923,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1924,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1924,Wladyslaw Stanislaw ReymontÊ
1924,Karl Manne Georg SiegbahnÊ
1924,Willem EinthovenÊ
1924,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1925,Richard Adolf ZsigmondyÊ
1925,George Bernard ShawÊ
1925,Gustav Ludwig HertzÊ
1925,James FranckÊ
1925,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1925,Charles Gates DawesÊ
1925,Sir Austen ChamberlainÊ
1926,The (Theodor) SvedbergÊ
1926,Grazia DeleddaÊ
1926,Jean Baptiste PerrinÊ
1926,Johannes Andreas Grib FibigerÊ
1926,Aristide BriandÊ
1926,Gustav StresemannÊ
1927,Heinrich Otto WielandÊ
1927,Henri BergsonÊ
1927,Arthur Holly ComptonÊ
1927,Charles Thomson Rees WilsonÊ
1927,Julius Wagner-JaureggÊ
1927,Ferdinand BuissonÊ
1927,Ludwig QuiddeÊ
1928,Adolf Otto Reinhold WindausÊ
1928,Sigrid UndsetÊ
1928,Owen Willans RichardsonÊ
1928,Charles Jules Henri NicolleÊ
1928,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1929,Arthur HardenÊ
1929,Hans Karl August Simon von Euler-ChelpinÊ
1929,Thomas MannÊ
1929,Prince Louis-Victor Pierre Raymond de BroglieÊ
1929,Christiaan EijkmanÊ
1929,Sir Frederick Gowland HopkinsÊ
1929,Frank Billings KelloggÊ
1930,Hans FischerÊ
1930,Sinclair LewisÊ
1930,Sir Chandrasekhara Venkata RamanÊ
1930,Karl LandsteinerÊ
1930,Lars Olof Jonathan (Nathan) SderblomÊ
1931,Carl BoschÊ
1931,Friedrich BergiusÊ
1931,Erik Axel KarlfeldtÊ
1931,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1931,Otto Heinrich WarburgÊ
1931,Jane AddamsÊ
1931,Nicholas Murray ButlerÊ
1932,Irving LangmuirÊ
1932,John GalsworthyÊ
1932,Werner Karl HeisenbergÊ
1932,Edgar Douglas AdrianÊ
1932,Sir Charles Scott SherringtonÊ
1932,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
1933,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1933,Ivan Alekseyevich BuninÊ
1933,Erwin SchrdingerÊ
1933,Paul Adrien Maurice DiracÊ
1933,Thomas Hunt MorganÊ
1933,Sir Norman Angell (Ralph Lane)Ê
1934,Harold Clayton UreyÊ
1934,Luigi PirandelloÊ
1934,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1934,George Hoyt WhippleÊ
1934,George Richards MinotÊ
1934,William Parry MurphyÊ
1934,Arthur HendersonÊ
1935,Frdric JoliotÊ
1935,Irne Joliot-CurieÊ
1935,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
1935,James ChadwickÊ
1935,Hans SpemannÊ
1935,Carl von OssietzkyÊ
1936,Petrus (Peter) Josephus Wilhelmus DebyeÊ
1936,Eugene Gladstone O'NeillÊ
1936,Carl David AndersonÊ
1936,Victor Franz HessÊ
1936,Otto LoewiÊ
1936,Sir Henry Hallett DaleÊ
1936,Carlos Saavedra LamasÊ
1937,Paul KarrerÊ
1937,Walter Norman HaworthÊ
1937,Roger Martin du GardÊ
1937,Clinton Joseph DavissonÊ
1937,George Paget ThomsonÊ
1937,Albert von Szent-Gyrgyi NagyrpoltÊ
1937,Cecil of Chelwood Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)Ê
1938,Richard KuhnÊ
1938,Pearl BuckÊ
1938,Enrico FermiÊ
1938,Corneille Jean Franois HeymansÊ
1938,Office international Nansen pour les Rfugis (Nansen International Office for Refugees)Ê
