source-lit,target-United States
lax,United States
ptj,United States
mth,United States
agc,United States
tlh,United States
hrl,United States
mgc,United States
lfk,United States
sjc,United States
cho,United States
aza,United States
atl,United States
pdk,United States
jao,United States
jaj,United States
fty,United States
gcn,United States
tmb,United States
mia,United States
opf,United States
msp,United States
pdx,United States
mri,United States
edf,United States
anc,United States
jce,United States
oak,United States
elp,United States
ogg,United States
qka,United States
bfl,United States
tpf,United States
tpa,United States
iad,United States
sac,United States
smf,United States
ank,Turkey
esb,Turkey
saw,Turkey
ist,Turkey
gva,Switzerland
xev,Sweden
sto,Sweden
arn,Sweden
bma,Sweden
mad,Spain
tow,Spain
bcn,Spain
grx,Spain
doh,Qatar
krk,Poland
rtm,Netherlands
ams,Netherlands
cjs,Mexico
mex,Mexico
itm,Japan
kix,Japan
osa,Japan
uky,Japan
spk,Japan
psa,Italy
bds,Italy
pmf,Italy
vce,Italy
lin,Italy
mxp,Italy
apf,Italy
nap,Italy
fco,Italy
cia,Italy
vic,Italy
bzo,Italy
cta,Italy
del,India
rkv,Iceland
kef,Iceland
ath,Greece
lej,Germany
muc,Germany
agb,Germany
zmu,Germany
bnj,Germany
qkl,Germany
cgn,Germany
dbt,Germany
ham,Germany
zmb,Germany
xfw,Germany
dtm,Germany
txl,Germany
thf,Germany
ber,Germany
sxf,Germany
cdg,France
ory,France
xrf,France
mrs,France
cai,Egypt
ssh,Egypt
gps,Ecuador
aar,Denmark
cph,Denmark
ytz,Canada
ybz,Canada
ykz,Canada
yyz,Canada
yto,Canada
sof,Bulgaria
grz,Austria
aep,Argentina
eze,Argentina
bue,Argentina
